unnamed:_0;food;makanan_indonesia;caloric_value;fat;saturated_fats;monounsaturated_fats;polyunsaturated_fats;carbohydrates;sugars;protein;dietary_fiber;cholesterol;sodium;water;vitamin_a;vitamin_b1;vitamin_b11;vitamin_b12;vitamin_b2;vitamin_b3;vitamin_b5;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;vitamin_k;calcium;copper;iron;magnesium;manganese;phosphorus;potassium;selenium;zinc;nutrition_density
10;parmesan cheese grated;Keju parmesan parut;21;1.4;0.8;0.4;0.036;0.7;0.075;1.4;0.0;4.3;0.043;1.1;0.017;0.003;0.015;0.091;0.081;0.077;0.057;0.077;0.007;0.0;0.002;0.014;0.012;42.7;0.094;0.094;1.7;0.026;31.4;9.0;0.038;3.745
11;port salut cheese;Keju Port Salut;465;37.2;22.0;12.3;1.0;0.8;0.8;31.4;0.0;162.4;0.7;60.0;0.4;0.012;0.035;0.067;0.3;0.019;0.3;0.08;0.0;0.057;0.3;0.094;858.0;0.062;0.6;31.7;0.095;475.2;179.5;0.015;3.4;928.4
12;swiss cheese;Keju Swiss;98;7.7;4.6;2.0;0.3;0.4;0.0;6.7;0.0;23.3;0.057;9.4;0.069;0.008;0.027;0.008;0.018;0.058;0.1;0.036;0.0;0.016;0.2;0.056;222.5;0.026;0.024;8.3;0.062;143.5;18.0;0.031;1.1;237.396
13;goat cheese hard;Keju kambing keras;128;10.1;7.0;2.3;0.2;0.6;0.6;8.6;0.0;29.7;0.076;8.2;0.1;0.071;0.035;0.093;0.3;0.7;0.1;0.007;0.0;0.044;0.083;0.039;253.3;0.2;0.5;15.3;0.088;206.3;13.6;0.082;0.4;273.2
14;gouda cheese;keju gouda;100;7.7;4.9;2.2;0.2;0.6;0.6;7.0;0.0;31.9;0.2;11.6;0.053;0.016;0.042;0.01;0.009;0.081;0.011;0.053;0.0;0.04;0.026;0.074;196.0;0.013;0.06;8.1;0.08;152.9;33.9;0.05;1.1;211.424
15;pepper jack cheese lucerne;Lada Jack Cheese Lucerne;75;6.0;4.0;0.0;0.0;0.0;0.0;5.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.5
16;caraway cheese;keju jintan;106;8.3;5.3;2.3;0.2;0.9;0.0;7.1;0.0;26.3;0.2;11.1;0.014;0.077;0.066;0.038;0.1;0.04;0.022;0.086;0.0;0.0;0.0;0.0;190.5;0.007;0.2;6.2;0.002;138.7;26.3;0.009;0.8;207.072
17;gjetost cheese;keju gjetost;1058;67.0;43.5;17.9;2.1;96.8;0.0;21.9;0.0;213.4;1.4;30.5;0.8;0.7;0.076;0.047;3.1;1.8;7.6;0.6;0.0;0.0;0.0;0.0;908.0;0.2;1.2;158.9;0.035;1007.9;3198.4;0.039;2.6;1095.7
18;tilsit cheese;Keju miring;136;10.4;6.7;2.9;0.3;0.8;0.0;9.8;0.0;40.8;0.3;17.1;0.057;0.036;0.072;0.058;0.1;0.068;0.1;0.036;0.0;0.0;0.0;0.0;280.0;0.033;0.01;5.2;0.086;200.0;26.0;0.026;1.4;301.069
19;goat cheese;keju kambing;103;8.4;5.8;1.9;0.2;0.009;0.031;6.1;0.0;22.4;0.1;12.9;0.1;0.013;0.011;0.086;0.2;0.3;0.03;0.087;0.0;0.078;0.082;0.046;84.3;0.2;0.5;8.2;0.008;106.1;44.7;0.005;0.2;99.494
20;brick cheese;Keju bata;111;8.9;5.6;2.6;0.2;0.8;0.2;7.0;0.0;28.2;0.2;12.3;0.016;0.042;0.059;0.074;0.1;0.085;0.086;0.033;0.0;0.042;0.072;0.064;202.2;0.093;0.1;7.2;0.085;135.3;40.8;0.056;0.8;219.002
21;asadero cheese;Keju Asadero;402;31.9;20.3;9.1;1.0;3.2;3.2;25.5;0.0;118.7;0.7;47.6;0.098;0.034;0.005;0.043;0.3;0.2;0.3;0.024;0.0;0.071;0.3;0.02;746.9;0.067;0.6;29.4;0.024;500.6;97.2;0.096;3.4;808.175
22;camembert cheese;Keju Camembert;90;7.3;4.6;2.1;0.2;0.1;0.1;5.9;0.0;21.6;0.3;15.5;0.091;0.054;0.043;0.034;0.1;0.2;0.4;0.017;0.0;0.093;0.014;0.024;116.4;0.046;0.063;6.0;0.075;104.1;56.1;0.035;0.7;129.826
23;provolone cheese reduced fat;Keju provolone mengurangi lemak;310;19.9;12.8;5.5;0.6;4.0;0.6;27.9;0.0;62.2;1.0;57.2;0.2;0.05;0.063;0.079;0.4;0.2;0.5;0.061;0.0;0.027;0.2;0.076;854.3;0.077;0.6;31.6;0.096;560.5;155.9;0.054;3.6;906.9
24;roquefort cheese;keju roquefort;314;26.0;16.4;7.2;1.1;1.7;0.0;18.3;0.0;76.5;1.5;33.5;0.2;0.092;0.037;0.002;0.5;0.6;1.5;0.1;0.0;0.0;0.0;0.0;562.7;0.005;0.5;25.5;0.036;333.2;77.4;0.081;1.8;609.4
25;queso blanco cheese;Keju Queso Blanco;366;28.7;16.1;7.6;1.4;3.0;2.1;24.0;0.0;82.6;0.8;57.5;0.2;0.097;0.0;0.022;0.3;0.038;0.5;0.1;0.0;0.05;0.6;0.061;814.2;0.098;0.2;34.2;0.067;551.1;148.7;0.016;3.6;870.3
26;queso seco cheese;Queso Seco Cheese;315;23.6;13.3;6.2;1.2;2.0;0.5;23.8;0.0;75.7;1.8;40.9;0.2;0.038;0.0;0.01;0.2;0.027;0.4;0.049;0.0;0.032;0.5;0.045;641.2;0.091;0.2;26.2;0.083;460.8;112.5;0.048;3.2;691.0
27;goat cheese soft;Keju kambing lembut;75;6.0;4.1;1.4;0.1;0.0;0.3;5.2;0.0;13.0;0.1;17.2;0.049;0.057;0.037;0.012;0.1;0.1;0.2;0.036;0.0;0.092;0.01;0.093;39.6;0.2;0.5;4.5;0.026;72.4;7.4;0.014;0.3;51.311
28;mozzarella cheese;Keju Mozzarella;90;6.6;4.2;2.0;0.2;0.7;0.0;6.7;0.0;23.7;0.1;15.0;0.037;0.088;0.088;0.081;0.071;0.013;0.089;0.016;0.0;0.044;0.001;0.008;151.5;0.057;0.1;6.0;0.019;106.2;22.8;0.047;0.9;165.648
29;chihuahua cheese;Keju Chihuahua;494;39.2;24.9;11.1;1.2;7.3;7.3;28.5;0.0;138.6;0.8;51.7;0.007;0.053;0.031;0.082;0.3;0.2;0.4;0.061;0.0;0.089;0.3;0.011;859.3;0.03;0.6;30.4;0.047;583.4;68.6;0.071;4.6;934.983
30;limburger cheese;Keju Limburger;98;8.2;5.0;2.6;0.1;0.1;0.1;6.0;0.0;27.0;0.2;14.5;0.1;0.021;0.095;0.082;0.2;0.009;0.4;0.002;0.0;0.004;0.055;0.046;149.1;0.036;0.011;6.3;0.054;117.9;38.4;0.029;0.6;163.575
31;muenster cheese;Keju Muenster;486;39.7;25.2;11.5;0.9;1.5;1.5;30.9;0.0;126.7;0.8;55.1;0.4;0.016;0.009;0.085;0.4;0.1;0.3;0.072;0.0;0.065;0.3;0.056;946.4;0.008;0.5;35.6;0.093;617.8;176.9;0.059;3.7;1019.4
32;queso fresco cheese;Keju queso fresco;365;29.1;15.8;7.3;1.3;3.6;2.8;22.1;0.0;84.2;0.9;62.7;0.3;0.019;0.029;0.076;0.2;0.05;0.4;0.06;0.0;0.055;0.5;0.087;690.5;0.025;0.2;29.3;0.053;469.7;157.4;0.073;3.1;745.8
33;brie cheese;Keju Brie;100;8.3;5.2;2.4;0.2;0.1;0.1;6.2;0.0;30.0;0.2;14.5;0.014;0.04;0.025;0.073;0.2;0.1;0.2;0.001;0.0;0.068;0.078;0.056;55.2;0.015;0.2;6.0;0.047;56.4;45.6;0.04;0.7;70.096
34;pimento cheese;keju pimento;525;43.7;27.5;12.5;1.4;2.4;0.9;31.0;0.1;131.6;2.0;54.7;0.3;0.023;0.043;0.016;0.5;0.1;0.7;0.011;3.2;0.099;0.4;0.086;859.6;0.032;0.6;30.8;0.031;1041.6;226.8;0.089;4.2;940.9
35;mexican cheese;Keju Meksiko;316;21.7;13.0;5.6;0.8;3.8;0.6;27.7;0.0;69.4;0.9;54.0;0.2;0.091;0.027;0.05;0.3;0.017;0.0;0.04;0.0;0.087;0.2;0.073;1283.5;0.034;0.1;39.2;0.0;653.0;104.2;0.006;4.8;1337.0
36;feta cheese;Keju feta;80;6.4;4.0;1.4;0.2;1.2;0.0;4.3;0.0;26.7;0.3;16.6;0.014;0.063;0.021;0.076;0.3;0.3;0.3;0.1;0.0;0.06;0.036;0.057;147.9;0.012;0.2;5.7;0.063;101.1;18.6;0.005;0.9;160.058
37;mozzarella cheese fat free;Mozzarella Cheese Fat Gratis;159;0.0;0.0;0.0;0.0;4.0;1.7;35.8;2.0;20.3;0.8;68.0;0.1;0.079;0.011;0.025;0.3;0.1;0.0;0.055;0.0;0.0;0.2;0.018;1085.9;0.077;0.4;37.3;0.0;741.3;119.8;0.035;4.4;1128.2
38;provolone cheese;keju provolone;463;35.1;22.5;9.8;1.0;2.8;0.7;33.8;0.0;91.1;1.2;54.1;0.3;0.013;0.017;0.005;0.4;0.2;0.6;0.052;0.0;0.028;0.3;0.001;997.9;0.011;0.7;37.0;0.033;654.7;182.2;0.017;4.3;1070.6
39;anejo cheese;keju anejo;492;39.6;25.1;11.3;1.2;6.1;6.1;28.3;0.0;138.6;1.5;50.2;0.098;0.069;0.081;0.077;0.3;0.088;0.3;0.011;0.0;0.032;0.3;0.078;897.6;0.058;0.6;37.0;0.067;586.1;114.8;0.095;3.9;972.205
40;honey;Sayang;64;0.0;0.0;0.0;0.0;17.3;17.2;0.08;0.025;0.0;0.011;3.6;0.0;0.0;0.022;0.0;0.003;0.012;0.03;0.004;0.1;0.0;0.0;0.0;1.3;0.061;0.017;0.4;0.098;0.8;10.9;0.021;0.008;18.892
41;apple butter;mentega apel;35;0.063;0.038;0.066;0.064;8.5;7.1;0.045;0.3;0.0;0.003;11.3;0.0;0.078;0.02;0.0;0.053;0.092;0.005;0.057;0.1;0.0;0.06;0.075;2.8;0.085;0.025;0.8;0.093;1.6;18.2;0.078;0.095;11.836
42;fruit jam;selai buah;56;0.095;0.021;0.065;0.0;13.8;9.7;0.0;0.2;0.0;0.052;6.1;0.0;0.083;0.076;0.0;0.024;0.07;0.045;0.037;1.8;0.0;0.062;0.0;4.0;0.022;0.07;0.8;0.002;3.8;15.4;0.054;0.03;19.919
43;chocolate hazelnut spread;cokelat hazelnut menyebar;100;5.5;5.3;0.0;0.0;11.5;10.0;1.0;1.0;0.0;0.099;0.2;0.0;0.005;0.02;0.042;0.036;0.072;0.1;0.056;0.0;0.0;0.9;0.071;20.0;0.061;0.8;11.8;0.2;28.1;75.3;0.021;0.2;39.8
44;peanut butter;selai kacang;88;7.4;1.4;3.1;1.7;3.6;1.0;3.3;0.9;0.0;0.085;0.2;0.0;0.0;0.081;0.063;0.0;0.041;2.0;0.2;0.078;0.0;0.0;0.9;0.0;8.1;0.079;0.3;26.9;0.2;50.3;88.8;0.044;15.268
45;peanut spread;Peanut Spread;101;8.5;1.6;4.2;2.5;2.2;0.5;3.8;1.2;0.0;0.028;0.3;0.0;0.091;0.079;0.0;0.025;2.5;0.2;0.049;0.0;0.0;1.2;0.046;11.2;0.1;0.4;25.4;0.3;54.3;126.8;0.078;0.5;27.3
46;chicken spread;oleskan ayam;88;9.8;1.8;2.7;1.3;2.3;0.3;10.1;0.2;31.4;0.4;32.1;0.076;0.06;0.048;0.064;0.003;1.5;0.2;0.016;0.0;0.0;0.0;0.0;9.0;0.049;0.5;6.7;0.083;49.8;59.4;0.029;0.6;31.972
47;cheese spread;Spread Keju;708;68.6;43.2;19.4;2.5;8.4;8.4;17.0;0.0;216.0;1.2;140.4;0.7;0.071;0.027;0.011;0.5;2.3;0.0;0.051;0.0;0.091;1.8;0.098;170.4;0.02;2.7;14.4;0.0;218.4;268.8;0.065;1.2;267.8
48;tahini;tahini;86;7.2;1.0;2.7;3.2;3.9;0.0;2.7;1.4;0.0;0.098;0.5;0.0;0.2;0.034;0.0;0.086;0.9;0.1;0.036;0.0;0.0;0.0;0.0;63.0;0.2;0.4;14.4;0.2;112.8;62.1;0.0;0.7;78.6
49;orange marmalade;Marmalade oranye;49;0.0;0.0;0.0;0.0;13.3;12.0;0.014;0.1;0.0;0.016;6.6;0.0;0.098;0.06;0.0;0.075;0.065;0.028;0.046;1.0;0.0;0.089;0.0;7.6;0.076;0.053;0.4;0.055;0.8;7.4;0.057;0.046;22.119
50;american cheese spread;Keju Amerika menyebar;46;3.4;2.1;1.0;0.062;1.4;1.2;2.6;0.0;8.8;0.3;7.6;0.043;0.012;0.066;0.022;0.076;0.089;0.1;0.086;0.0;0.014;0.022;0.046;89.9;0.061;0.079;4.6;0.062;140.0;38.7;0.052;0.4;97.357
51;apricot jam;Apricot Jam;48;0.01;0.042;0.0;0.0;12.9;8.7;0.1;0.044;0.0;0.004;6.9;0.0;0.0;0.017;0.0;0.053;0.096;0.087;0.068;1.8;0.0;0.048;0.0;4.0;0.07;0.066;0.8;0.099;0.6;15.4;0.009;0.062;18.91
52;chunky peanut butter;Selai kacang chunky;94;8.0;1.2;3.7;2.2;3.5;1.3;3.8;1.3;0.0;0.03;0.2;0.0;0.018;0.094;0.0;0.013;2.2;0.2;0.072;0.0;0.0;1.0;0.016;7.2;0.002;0.3;25.6;0.3;51.0;119.2;0.045;0.4;24.1
53;ham and cheese spread;ham dan keju menyebar;37;2.8;1.3;1.1;0.2;0.3;0.0;2.4;0.0;9.2;0.2;8.9;0.03;0.0;0.094;0.035;0.066;0.3;0.098;0.041;0.0;0.0;0.0;0.0;32.6;0.087;0.1;2.7;0.063;74.3;24.3;0.065;0.3;38.238
54;chicken and rice casserole homade;homade casserole ayam dan nasi;27;1.0;0.0;0.0;0.0;2.4;0.0;2.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7
55;picnic loaf;roti piknik;65;4.7;1.7;2.2;0.5;1.3;0.0;4.2;0.0;10.6;0.3;16.9;0.0;0.1;0.005;0.004;0.01;0.6;0.2;0.083;0.0;0.025;0.0;0.0;13.2;0.078;0.3;4.2;0.094;35.0;74.8;0.025;0.6;23.7
56;corn tamale;Tamale jagung;309;12.0;4.4;4.0;2.6;44.3;12.3;5.8;5.3;0.0;0.5;101.8;0.0;0.098;0.0;0.0;0.023;2.2;0.6;0.3;0.0;0.0;0.7;0.052;39.8;0.02;0.9;48.1;0.4;154.4;308.8;0.075;1.0;108.1
57;baked potato with cheese sauce bacon;kentang panggang dengan bacon saus keju;451;25.9;10.1;9.7;4.8;44.4;0.0;18.4;0.0;29.9;1.0;194.4;0.2;0.3;0.011;0.007;0.2;4.0;1.3;0.7;28.7;0.0;0.0;0.0;308.0;0.6;3.1;68.8;0.5;346.8;1178.1;0.01;2.2;428.7
58;chinese egg roll;gulungan telur Cina;223;10.6;1.9;2.7;5.0;24.3;0.0;7.4;2.3;14.2;0.4;45.0;0.0;0.1;0.0;0.079;0.001;2.4;0.3;0.1;0.0;0.0;0.0;0.066;35.6;0.1;1.3;16.0;0.2;75.7;146.9;0.0;0.6;81.5
59;butter croissant;Croissant mentega;231;12.0;6.6;3.1;0.6;26.1;6.4;4.7;1.5;38.2;0.2;13.2;0.1;0.2;0.021;0.092;0.1;1.2;0.5;0.095;0.1;0.0;0.5;0.022;21.1;0.07;1.2;9.1;0.2;59.9;67.3;0.054;0.4;66.8
60;enchilada with cheese beef;enchilada dengan daging sapi keju;323;17.6;9.0;6.1;1.4;30.5;0.0;11.9;0.0;40.3;1.3;128.4;0.016;0.056;0.075;0.036;0.4;2.5;1.4;0.3;1.3;0.0;0.0;0.0;228.5;0.5;3.1;82.6;0.6;167.0;574.1;0.092;2.7;292.933
61;corned beef hash with potatoes;hash daging kornet dengan kentang;387;24.2;10.2;12.4;0.7;21.9;0.8;20.6;2.6;75.5;1.0;166.0;0.0;0.2;0.013;0.062;0.1;3.7;1.0;0.5;2.1;0.0;0.057;0.017;44.8;0.0;2.4;30.7;0.2;132.2;405.9;0.034;3.3;118.6
62;biscuit with egg cheese bacon;biskuit dengan bacon keju telur;436;25.3;8.5;11.7;2.8;35.4;2.5;17.4;0.3;240.7;1.2;62.3;0.1;0.4;0.097;0.067;0.4;3.4;1.1;0.2;0.0;0.095;1.5;0.098;149.4;0.4;2.3;21.8;0.2;526.4;190.0;0.087;1.6;230.2
63;bagel with ham egg cheese;Bagel dengan keju telur ham;483;18.5;7.9;5.7;3.3;52.4;7.0;26.7;0.4;242.6;1.3;88.7;0.2;0.7;0.1;0.048;0.6;6.0;1.4;0.1;0.0;0.001;1.2;0.018;185.3;0.4;4.1;40.1;0.4;397.3;261.7;0.098;2.4;287.6
64;quesadilla with chicken;quesadilla dengan ayam;529;27.5;11.1;6.8;7.4;43.3;3.4;27.1;3.1;66.6;1.3;76.7;0.1;0.4;0.073;0.012;0.3;7.6;0.0;0.1;0.2;0.1;0.5;0.03;484.2;0.1;3.2;45.0;0.5;563.4;329.4;0.025;2.6;588.7
65;corn rice;nasi jagung;110;0.3;0.02;0.0;0.1;25.2;3.0;1.8;0.4;0.0;0.2;1.1;0.2;1.8;0.0;0.0;1.1;8.6;0.007;1.7;11.2;0.0;0.035;0.0;2.9;0.013;9.9;5.5;0.2;22.3;30.5;0.043;2.2;51.9
66;kung pao chicken;Kung Pao Chicken;779;42.2;8.2;13.1;18.2;41.5;18.3;59.0;9.1;157.0;2.4;451.7;0.0;0.2;0.0;0.034;0.3;16.7;3.0;1.5;42.9;0.0;6.2;0.012;120.8;0.4;4.6;145.0;1.5;567.8;1316.7;0.097;4.5;320.1
67;beef empanada;daging sapi empanada;298;16.3;4.6;6.3;3.8;27.8;1.6;10.1;1.8;23.1;0.4;33.4;0.0;0.2;0.0;0.094;0.2;4.2;0.4;0.1;0.0;0.0;0.6;0.072;17.8;0.051;2.4;18.7;0.2;91.7;169.1;0.037;1.7;76.2
68;frijoles with cheese;Frijoles dengan keju;225;7.8;4.1;2.6;0.7;28.7;0.0;11.4;0.0;36.7;0.9;115.4;0.008;0.1;0.1;0.085;0.3;1.5;1.1;0.2;1.5;0.0;0.0;0.0;188.7;0.3;2.2;85.2;0.5;175.4;604.5;0.013;1.7;240.305
69;burrito with beef;Burrito dengan daging sapi;285;8.1;1.7;1.7;4.0;43.9;4.1;9.1;4.4;2.6;0.5;65.8;0.036;0.036;0.4;0.2;0.023;0.2;3.2;1.8;0.1;0.4;0.0;0.5;0.042;67.1;0.2;3.2;40.0;0.5;150.9;270.9;0.002;65.89
70;crispy chicken sandwich;Sandwich ayam renyah;350;17.6;3.3;4.0;8.4;33.2;3.9;14.8;0.0;0.0;0.7;57.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.6;0.09;1.9;25.2;0.3;229.3;233.1;0.0;0.7;114.1
71;enchilada with cheese;Enchilada dengan keju;374;25.3;11.5;6.4;3.8;21.2;3.6;15.4;2.6;57.5;0.7;71.8;0.7;0.3;0.081;0.073;0.036;0.3;0.9;1.3;0.2;0.8;0.0;1.8;0.0;430.2;0.2;0.9;39.7;0.2;367.2;191.8;0.03;65.6
72;pork egg roll;gulungan telur babi;189;6.1;1.3;2.0;2.1;25.1;4.5;8.4;1.8;11.9;0.3;43.6;0.0;0.2;0.019;0.071;0.023;1.9;0.4;0.1;24.9;0.085;0.2;0.064;28.9;0.024;1.3;17.0;0.3;77.4;180.2;0.071;0.8;96.5
73;corn on the cob with butter;Jagung di atas tongkol dengan mentega;155;3.4;1.6;1.0;0.6;31.9;0.0;4.5;0.0;5.8;0.056;105.2;0.004;0.2;0.045;0.0;0.1;2.2;0.4;0.3;6.9;0.0;0.0;0.0;4.4;0.0;0.9;40.9;0.0;108.0;359.2;0.034;0.9;52.078
74;pancakes with butter syrup;pancake dengan sirup mentega;260;7.0;2.9;2.6;1.0;45.4;0.0;4.1;0.0;29.0;0.6;57.7;0.015;0.2;0.082;0.046;0.3;1.7;0.3;0.051;1.7;0.0;0.7;0.0;63.8;0.073;1.3;24.4;0.2;237.8;125.3;0.075;0.5;123.319
75;burrito with beans;Burrito dengan kacang;224;6.7;3.4;2.4;0.6;35.7;0.0;7.0;0.0;2.2;0.5;57.0;0.0;0.3;0.067;0.093;0.3;2.0;1.0;0.2;1.0;0.0;0.0;0.0;56.4;0.2;2.3;43.4;0.4;48.8;326.6;0.024;0.8;109.1
76;scrambled eggs;Telur orak -arik;100;7.6;2.9;2.8;0.9;1.0;0.8;6.5;0.0;200.2;0.1;31.3;0.066;0.066;0.045;0.041;0.2;0.095;0.4;0.076;1.6;0.086;0.5;0.001;26.8;0.093;1.2;6.6;0.066;113.7;69.1;0.012;0.8;44.726
77;baked potato with sour cream;kentang panggang dengan krim asam;393;22.3;10.0;7.9;3.3;50.0;0.0;6.7;0.0;24.2;0.2;209.7;0.2;0.3;0.086;0.009;0.2;3.7;1.5;0.8;33.8;0.0;0.0;0.0;105.7;0.7;3.1;69.5;0.6;184.2;1383.2;0.088;0.9;221.8
78;turkey and gravy;Turki dan saus;161;6.3;2.0;2.3;1.1;11.1;0.0;14.1;0.0;43.2;1.3;204.2;0.018;0.067;0.058;0.099;0.3;4.3;0.5;0.2;0.0;0.0;0.0;0.0;33.6;0.035;2.2;19.2;0.045;194.4;146.4;0.003;1.7;67.374
79;chicken egg roll;gulungan telur ayam;158;3.6;0.8;1.1;1.5;22.8;4.5;8.4;1.9;11.2;0.4;43.3;0.085;0.2;0.013;0.019;0.1;2.9;0.5;0.2;9.0;0.0;0.3;0.072;37.6;0.056;1.4;24.0;0.3;94.4;224.8;0.032;0.4;84.75
80;vegetable egg roll;Gulungan Telur Sayuran;153;3.6;0.6;1.0;1.7;25.0;5.3;5.2;2.2;0.0;0.4;42.5;0.0;0.2;0.04;0.014;0.1;1.6;0.3;0.1;10.7;0.0;0.4;0.099;35.9;0.082;1.5;20.3;0.4;64.7;195.0;0.005;0.4;84.1
81;ham cheese roll;Ham Cheese Roll;67;5.2;2.0;2.4;0.6;1.1;0.0;3.8;0.0;16.2;0.3;16.9;0.0;0.2;0.004;0.008;0.033;1.0;0.1;0.019;0.0;0.061;0.037;0.0;16.2;0.078;0.3;4.5;0.0;70.8;82.3;0.018;0.6;26.6
82;biscuit with ham;biskuit dengan ham;386;18.4;11.4;4.8;1.0;43.8;2.2;13.4;0.8;24.9;1.1;32.1;0.05;0.5;0.003;0.0;0.3;3.5;0.4;0.1;0.1;0.08;1.4;0.089;160.5;0.054;2.7;22.6;0.4;553.7;196.6;0.011;1.6;239.732
83;lemon chicken;ayam lemon;1440;74.9;12.2;16.4;36.7;122.0;55.2;68.6;7.0;203.8;1.5;363.6;0.099;0.3;0.069;0.028;0.4;23.3;3.1;1.5;15.9;0.045;8.1;0.2;248.4;0.2;8.4;95.6;0.6;821.7;987.4;0.001;3.2;545.212
84;hummus;hummus;435;21.1;2.8;12.0;5.2;49.5;0.7;12.0;9.8;0.0;0.6;159.6;0.0;0.2;0.1;0.0;0.1;1.0;0.7;1.0;19.4;0.0;1.8;0.059;120.5;0.6;3.8;71.3;1.4;270.6;425.6;0.038;2.7;236.1
85;croissant with egg cheese;croissant dengan keju telur;368;24.7;14.1;7.5;1.4;24.3;0.0;12.8;0.0;215.9;0.6;57.7;0.0;0.2;0.096;0.043;0.4;1.5;1.1;0.1;0.1;0.0;0.0;0.0;243.8;0.077;2.2;21.6;0.2;348.0;174.0;0.065;1.8;307.9
86;enchirito with cheese beef beans;enchirito dengan kacang daging sapi keju;344;16.1;7.9;6.5;0.3;33.8;0.0;17.9;0.0;50.2;1.3;121.0;0.074;0.2;0.028;0.051;0.7;3.0;1.8;0.2;4.6;0.0;0.0;0.0;218.1;0.3;2.4;71.4;0.4;223.9;559.7;0.016;2.8;292.984
